field,value
autore,"KIRST, HANS HELLMUT"
collabor,"PANDOLFI A.,TRAD."
edizione,I
luogo_pub,MILANO
editore,GARZANTI
data_pub,1965
volume,2025-01-01 00:00:00
pagine,309
formato,19
data_crea,2000-01-21 00:00:00
n_scheda,23154
segnatura,LE
noName,"6,48"
cod_sez,LE
n_s_sez,6
autore,"BAUER, JOSEF MARTIN"
collabor,"LA RACINE R.,TRAD."
luogo_pub,MILANO
editore,LONGANESI & C.
data_pub,COPYRIGHT 1967
volume,2025-01-01 00:00:00
pagine,286
formato,18
note_sp,I LIBRI POCKET
data_crea,2000-01-21 00:00:00
n_scheda,23153
segnatura,LE
noName,"6,47"
cod_sez,LE
n_s_sez,6
autore,"FALLADA, HANS"
collabor,"REVEL BRUNO,TRAD."
edizione,III
luogo_pub,MILANO
editore,MONDADORI
data_pub,1942
volume,2025-01-01 00:00:00
pagine,405
formato,19
note_sp,MEDUSA/I GRANDI NARRATORI D'OGNI PAESE
data_crea,2000-01-21 00:00:00
n_scheda,23152
segnatura,LE
noName,"6,46"
cod_sez,LE
n_s_sez,6
autore,"HAMSUN, KNUT"
collabor,"POCAR E.,TRAD."
edizione,IV
luogo_pub,MILANO
editore,MONDADORI
data_pub,COPYRIGHT 1956
volume,2025-01-01 00:00:00
pagine,489
formato,19
note_sp,MEDUSA/I GRANDI NARRATORI D'OGNI PAESE
data_crea,2000-01-21 00:00:00
n_scheda,23151
segnatura,LE
noName,"6,45"
cod_sez,LE
n_s_sez,6
autore,"FALLADA, HANS"
collabor,"REVEL BRUNO,TRAD."
edizione,IV
luogo_pub,MILANO
editore,MONDADORI
data_pub,1941
volume,2025-01-01 00:00:00
pagine,307
formato,19.5
note_sp,MEDUSA/I GRANDI NARRATORI D'OGNI PAESE
data_crea,2000-01-21 00:00:00
n_scheda,23150
segnatura,LE
noName,"6,44"
cod_sez,LE
n_s_sez,6
autore,"KAFKA, FRANZ"
collabor,"CASTELLANI E.,TRAD."
edizione,I
luogo_pub,MILANO
editore,GARZANTI
data_pub,1966
volume,2025-01-01 00:00:00
pagine,219
formato,18
note_sp,GARZANTI PER TUTTI - I GRANDI LIBRI
data_crea,2000-01-21 00:00:00
n_scheda,23149
segnatura,LE
noName,"6,43"
cod_sez,LE
n_s_sez,6
autore,"KAFKA, FRANZ"
collabor,"FURST H.,TRAD."
edizione,II
luogo_pub,MILANO
editore,LONGANESI & C.
data_pub,COPYRIGHT 1958
volume,2025-01-01 00:00:00
pagine,295
formato,18
note_sp,LA GAJA SCIENZA
data_crea,2000-01-21 00:00:00
n_scheda,23148
segnatura,LE
noName,"6,42"
cod_sez,LE
n_s_sez,6
autore,"KAFKA, FRANZ"
collabor,"RHO ANITA,CURAT."
edizione,III RISTAMPA
luogo_pub,TORINO
editore,FRASSINELLI
data_pub,1952
volume,2025-01-01 00:00:00
