field,value
edizione,I
luogo_pub,BRESCIA
editore,QUERINIANA
data_pub,COPYRIGHT 1998
volume,2025-01-01 00:00:00
pagine,94
formato,19.5
collezion,"GIORNALE DI TEOLOGIA, N. 257"
note_sp,COLLEZ. DIR. DA R. GIBELLINI
cod_isbn,88-399-0757-2
data_crea,1998-06-15 00:00:00
n_scheda,19579
segnatura,SE
noName,"29,436"
cod_sez,SE
n_s_sez,29
soggetto,"TERESA, DI GESU` BAMBINO`, S. AGIOGRAFIA"
collabor,CARMELITANE SCALZE - LA SPEZIA [A CURA DELLE]
luogo_pub,STRASBURGO
editore,EDITIONS DU SIGNE
data_pub,[S.D.]
volume,2025-01-01 00:00:00
pagine,48
illustr,ILL. [A COL.]
formato,29.5
cod_isbn,2-87718-265-7
data_crea,1998-06-11 00:00:00
n_scheda,19578
segnatura,G 2
noName,",XV/68"
cod_sez,G
n_s_sez,2
autore,"CARNITI, CECILIA"
luogo_pub,ROMA
editore,LAS
data_pub,COPYRIGHT 1985
volume,2025-01-01 00:00:00
pagine,121
formato,24
collezion,"BIBLIOTECA DI SCIENZE RELIGIOSE, N. 68"
cod_isbn,88-213-0113-3
data_crea,1998-06-11 00:00:00
n_scheda,19577
segnatura,LE
noName,"2,III-F/14"
cod_sez,LE
n_s_sez,2
autore,"CALISHER, HORTENSE"
collabor,"CAPRIOLO E.,TRAD."
luogo_pub,MILANO
editore,CLUB DEGLI EDITORI
data_pub,COPYRIGHT 1966
volume,2025-01-01 00:00:00
pagine,279
formato,20
collezion,"UN LIBRO AL MESE, N. F/14"
note_sp,ED. SU LICENZA DELLA A. MONDADORI EDITORE
data_crea,1998-06-11 00:00:00
n_scheda,19576
segnatura,LE
noName,"2,XXXVIII/5"
cod_sez,LE
n_s_sez,2
autore,"METASTASIO, PIETRO"
luogo_pub,TORINO
editore,G. POMBA
data_pub,1930
volume,2025-01-01 00:00:00
pagine,3 V. IN UNO
formato,13
collezion,"OPERE, T. 5"
data_crea,1998-06-08 00:00:00
n_scheda,19575
segnatura,LE
noName,"2,XXXVIII/4"
cod_sez,LE
n_s_sez,2
autore,"METASTASIO, PIETRO"
luogo_pub,TORINO
editore,G. POMBA
data_pub,1829
volume,2025-01-01 00:00:00
pagine,3 V. IN UNO
formato,13
collezion,"OPERE, T. 4"
data_crea,1998-06-08 00:00:00
n_scheda,19574
segnatura,LE
noName,"2,XXXVIII/3"
cod_sez,LE
n_s_sez,2
autore,"METASTASIO, PIETRO"
luogo_pub,TORINO
editore,G. POMBA
data_pub,1829
volume,2025-01-01 00:00:00
pagine,3 V. IN UNO
formato,13
collezion,"OPERE, T. 3"
data_crea,1998-06-08 00:00:00
n_scheda,19573
segnatura,LE
noName,"2,XXXVIII/2"
cod_sez,LE
n_s_sez,2
autore,"METASTASIO, PIETRO"
luogo_pub,TORINO
editore,G. POMBA
data_pub,1829
volume,2025-01-01 00:00:00
pagine,3 V. IN UNO
formato,13
collezion,"OPERE, T. 2"
data_crea,1998-06-08 00:00:00
n_scheda,19572
segnatura,LE
noName,"2,XXXVIII/1"
cod_sez,LE
n_s_sez,2
autore,"METASTASIO, PIETRO"
luogo_pub,TORINO
editore,G. POMBA
data_pub,1829
volume,2025-01-01 00:00:00
pagine,3 V. IN UNO
formato,13
collezion,"OPERE, T. 1"
data_crea,1998-06-08 00:00:00
n_scheda,19571
segnatura,LE
noName,"2,XXXVII/8"
cod_sez,LE
n_s_sez,2
autore,"PELLIZZARO, G. B."
luogo_pub,LIVORNO
editore,R. GIUSTI
data_pub,1914
volume,2025-01-01 00:00:00
pagine,"VIII,88"
formato,16
collezion,"BIBLIOTECA DEGLI STUDENTI, N. 8"
data_crea,1998-06-05 00:00:00
n_scheda,19570
segnatura,LE
noName,"2,XXXVII/7"
cod_sez,LE
n_s_sez,2
autore,"BUSETTO, NATALE"
luogo_pub,LIVORNO
editore,RAFFAELLO GIUSTI
data_pub,1914
volume,2025-01-01 00:00:00
pagine,"VI [VIII],67"
formato,16
collezion,"BIBLIOTECA DEGLI STUDENTI, N. 7"
data_crea,1998-06-05 00:00:00
n_scheda,19569
segnatura,LE
noName,"2,XXXVII/6"
cod_sez,LE
n_s_sez,2
autore,"LOZITO, VINCENZO"
luogo_pub,LIVORNO
editore,RAFFAELLO GIUSTI
data_pub,1915
volume,2025-01-01 00:00:00
pagine,"6 F.P.,75"
formato,16
collezion,"BIBLIOTECA DEGLI STUDENTI, N. 6"
data_crea,1998-06-05 00:00:00
n_scheda,19568
segnatura,LE
noName,"2,XXXVII/5"
cod_sez,LE
n_s_sez,2
autore,"FILIPPI, LUIGI"
luogo_pub,LIVORNO
editore,RAFFAELLO GIUSTI
data_pub,1915
volume,2025-01-01 00:00:00
pagine,"8 F.P.,92"
formato,16
collezion,"BIBLIOTECA DEGLI STUDENTI, N. 5"
data_crea,1998-06-05 00:00:00
n_scheda,19567
segnatura,LE
noName,"2,XXXVII/4"
cod_sez,LE
n_s_sez,2
autore,"SANTINI, EMILIO"
luogo_pub,LIVORNO
editore,RAFFAELLO GIUSTI
data_pub,1914
volume,2025-01-01 00:00:00
pagine,"10 F.P.,70"
formato,16
collezion,"BIBLIOTECA DEGLI STUDENTI, N. 4"
data_crea,1998-06-05 00:00:00
n_scheda,19566
segnatura,LE
noName,"2,XXXVII/3"
cod_sez,LE
n_s_sez,2
autore,"FLAMINI, FRANCESCO"
edizione,III
luogo_pub,LIVORNO
editore,RAFFAELLO GIUSTI
data_pub,1927
volume,2025-01-01 00:00:00
pagine,"X,73"
formato,16
collezion,"BIBLIOTECA DEGLI STUDENTI, N. 3"
data_crea,1998-06-05 00:00:00
n_scheda,19565
segnatura,LE
noName,"2,XXXVII/2,II"
cod_sez,LE
n_s_sez,2
autore,"CAPELLI, L. M."
titolo,"DIZIONARIETTO PASCOLIANO. II/COMMENTO DI: ODI ED INNI - CARMI CONVIV I ALI - CANZONI DI RE ENZIO - POEMETTI ITALIA (P. UCELLO, ROSSINI, T OL STOJ)"
edizione,II
luogo_pub,LIVORNO
editore,RAFFAELLO GIUSTI
data_pub,1926
volume,2025-01-01 00:00:00
pagine,"X,177"
formato,16
collezion,"BIBLIOTECA DEGLI STUDENTI, N. 2/II"
data_crea,1998-06-05 00:00:00
n_scheda,19564
segnatura,LE
noName,"2,XXXVII/2,I BIS"
cod_sez,LE
n_s_sez,2
autore,"CAPELLI, L. M."
titolo,DIZIONARIETTO PASCOLIANO. I/COMMENTO DI: MYRICAE - CANTI DI CASTELVE C CHIO - PRIMI POEMETTI - NUOVI POEMETTI
edizione,II RISTAMPA
luogo_pub,LIVORNO
editore,RAFFAELLO GIUSTI
data_pub,1923
volume,2025-01-01 00:00:00
pagine,"XIX,116"
formato,16
collezion,"BIBLIOTECA DEGLI STUDENTI, N. 2/I BIS"
note_sp,"OP. DOPPIA, DIVERSA ED."
data_crea,1998-06-05 00:00:00
n_scheda,19563
segnatura,LE
noName,"2,XXXVII/2,I"
cod_sez,LE
n_s_sez,2
autore,"CAPELLI, L. M."
titolo,DIZIONARIETTO PASCOLIANO. I/COMMENTO DI: MYRICAE - CANTI DI CASTELVE C CHIO - PRIMI POEMETTI - NUOVI POEMETTI
luogo_pub,LIVORNO
editore,RAFFAELLO GIUSTI
data_pub,1916
volume,2025-01-01 00:00:00
pagine,"XIX,116"
formato,16
collezion,"BIBLIOTECA DEGLI STUDENTI, N. 2/I"
data_crea,1998-06-05 00:00:00
n_scheda,19562
segnatura,LE
noName,"2,XXXVII/1,II"
cod_sez,LE
n_s_sez,2
autore,"CAPELLI, L. M."
titolo,DIZIONARIETTO CARDUCCIANO. II/COMMENTO DI GIAMBI ED EPODI E RIME NUO VE
luogo_pub,LIVORNO
editore,RAFFAELLO GIUSTI
data_pub,1913
volume,2025-01-01 00:00:00
pagine,"XII,117"
formato,16
collezion,"BIBLIOTECA DEGLI STUDENTI, N. 1/II"
data_crea,1998-06-05 00:00:00
n_scheda,19561
segnatura,LE
noName,"2,XXXVII/1,I"
cod_sez,LE
n_s_sez,2
autore,"CAPELLI, L. M."
titolo,DIZIONARIETTO CARDUCCIANO. I/COMMENTO RITMICO E STORICO DI TUTTE LE ODI BARBARE
luogo_pub,LIVORNO
editore,RAFFAELLO GIUSTI
data_pub,1913
volume,2025-01-01 00:00:00
pagine,"X,77"
formato,16
collezion,"BIBLIOTECA DEGLI STUDENTI, N. 1/I"
data_crea,1998-06-05 00:00:00
n_scheda,19560
segnatura,LE
noName,"2,XXXVI/48"
cod_sez,LE
n_s_sez,2
titolo,NOVELLINO. LE CENTO NOVELLE ANTICHE O LIBRO DI NOVELLE E DI BEL PARL AR GENTILE
collabor,"DI FRANCIA L.,CURAT."
luogo_pub,TORINO
editore,U.T.E.T.
data_pub,1945
volume,2025-01-01 00:00:00
pagine,"LIII,280"
formato,17
collezion,"COLLEZIONE DI CLASSICI ITALIANI, N. 48"
note_sp,CON NOTE
data_crea,1998-06-05 00:00:00
n_scheda,19559
segnatura,LE
noName,"2,XXXVI/46"
cod_sez,LE
n_s_sez,2
autore,"SANNAZARO, JACOPO"
collabor,"CARRARA E.,CURAT."
luogo_pub,TORINO
editore,U.T.E.T.
data_pub,1944
volume,2025-01-01 00:00:00
pagine,"XXXIV,169"
formato,17
collezion,"COLLEZIONE DI CLASSICI ITALIANI, N. 46"
note_sp,CON NOTE
data_crea,1998-06-05 00:00:00
n_scheda,19558
segnatura,LE
noName,"2,XXXVI/27"
cod_sez,LE
n_s_sez,2
autore,"GOLDONI, CARLO"
collabor,"GIGLI L.,CURAT."
luogo_pub,TORINO
editore,U.T.E.T.
data_pub,1944
volume,2025-01-01 00:00:00
pagine,"XXXVIII,189"
formato,17
collezion,"COLLEZIONE DI CLASSICI ITALIANI, N. 27"
note_sp,CON NOTE
data_crea,1998-06-05 00:00:00
n_scheda,19557
segnatura,LE
noName,"2,XXXVI/18"
cod_sez,LE
n_s_sez,2
autore,"MANZONI, ALESSANDRO"
collabor,"EGIDI P.,CURAT."
luogo_pub,TORINO
editore,U.T.E.T.
data_pub,1944
volume,2025-01-01 00:00:00
pagine,"XXXVII,253"
formato,17
collezion,"COLLEZIONE DI CLASSICI ITALIANI, N. 18"
note_sp,CON NOTE
data_crea,1998-06-05 00:00:00
n_scheda,19556
segnatura,LE
noName,"2,XXXVI/16"
cod_sez,LE
n_s_sez,2
autore,"AZEGLIO, MASSIMO D'"
collabor,"DE RUBRIS M.,CURAT."
luogo_pub,TORINO
editore,U.T.E.T.
data_pub,1944
volume,2025-01-01 00:00:00
pagine,"XLII,183"
formato,17
collezion,"COLLEZIONE DI CLASSICI ITALIANI, N. 16"
note_sp,CON NOTE
data_crea,1998-06-05 00:00:00
n_scheda,19555
segnatura,LE
noName,"2,XXXVI/15"
cod_sez,LE
n_s_sez,2
autore,"CATERINA, DA SIENA, S."
collabor,"FINO SAVERIO,CURAT."
luogo_pub,TORINO
editore,U.T.E.T.
data_pub,1944
volume,2025-01-01 00:00:00
pagine,"XXXVIII,214"
formato,17
collezion,"COLLEZIONE DI CLASSICI ITALIANI, N. 15"
note_sp,CON NOTE
data_crea,1998-06-05 00:00:00
n_scheda,19554
segnatura,LE
noName,"2,XXXVI/14 BIS"
cod_sez,LE
n_s_sez,2
autore,"GIUSTI, GIUSEPPE"
collabor,"BELLORINI E.,CURAT."
luogo_pub,TORINO
editore,U.T.E.T.
data_pub,1944
volume,2025-01-01 00:00:00
pagine,"XXXIII,270"
formato,17
collezion,"COLLEZIONE DI CLASSICI ITALIANI, N. 14"
note_sp,CON NOTE; OP. DOPPIA
data_crea,1998-06-05 00:00:00
n_scheda,19553
segnatura,LE
noName,"2,XXXVI/14"
cod_sez,LE
n_s_sez,2
autore,"GIUSTI, GIUSEPPE"
collabor,"BELLORINI E.,CURAT."
luogo_pub,TORINO
editore,U.T.E.T.
data_pub,1944
volume,2025-01-01 00:00:00
pagine,"XXXIII,270"
formato,17
collezion,"COLLEZIONE DI CLASSICI ITALIANI, N. 14"
note_sp,CON NOTE
data_crea,1998-06-05 00:00:00
n_scheda,19552
segnatura,LE
noName,"2,XXXVI/4"
cod_sez,LE
n_s_sez,2
titolo,RIMATORI DEL DOLCE STIL NOVO. GUIDO CAVALCANTI - LAPO GIANNI - GIANN I ALFANI - CINO DA PISTOIA - DINO FRESCOBALDI
collabor,"DI BENEDETTO L.,CURAT."
luogo_pub,TORINO
editore,U.T.E.T.
data_pub,1944
volume,2025-01-01 00:00:00
pagine,"XXXV,279"
formato,17
collezion,"COLLEZIONE DI CLASSICI ITALIANI, N. 4"
note_sp,CON NOTE
data_crea,1998-06-05 00:00:00
n_scheda,19551
segnatura,LE
noName,"2,XXXVI/2"
cod_sez,LE
n_s_sez,2
autore,"PARINI, GIUSEPPE"
collabor,"ALLODOLI E.,CURAT."
luogo_pub,TORINO
editore,U.T.E.T.
data_pub,1944
volume,2025-01-01 00:00:00
pagine,189
formato,17
collezion,"COLLEZIONE DI CLASSICI ITALIANI, N. 2"
note_sp,CON NOTE
data_crea,1998-06-05 00:00:00
n_scheda,19550
segnatura,LE
noName,"2,XXXVI/1"
cod_sez,LE
n_s_sez,2
autore,"METASTASIO, PIETRO"
collabor,"BERNARDI C.,CURAT."
luogo_pub,TORINO
editore,U.T.E.T.
data_pub,1944
volume,2025-01-01 00:00:00
pagine,"XLIV,125"
formato,17
collezion,"COLLEZIONE DI CLASSICI ITALIANI, N. 1"
note_sp,CON NOTE
data_crea,1998-06-05 00:00:00
n_scheda,19549
segnatura,LE
noName,"2,XXXV/127"
cod_sez,LE
n_s_sez,2
autore,"DE SANCTIS, FRANCESCO"
luogo_pub,MILANO
editore,SONZOGNO
data_pub,[S.D.]
volume,2025-01-01 00:00:00
pagine,340
formato,18.5
collezion,"BIBLIOTECA CLASSICA ECONOMICA, N. 127"
note_sp,NUOVA ED. RIV. E CORR.
data_crea,1998-06-05 00:00:00
n_scheda,19548
segnatura,LE
noName,"2,XXXV/126"
cod_sez,LE
n_s_sez,2
autore,"DE SANCTIS, FRANCESCO"
luogo_pub,MILANO
editore,SONZOGNO
data_pub,[S.D.]
volume,2025-01-01 00:00:00
pagine,391
formato,18.5
collezion,"BIBLIOTECA CLASSICA ECONOMICA, N. 126"
note_sp,NUOVA ED. RIV. E CORR.
data_crea,1998-06-05 00:00:00
n_scheda,19547
segnatura,LE
noName,"2,XXXV/62"
cod_sez,LE
n_s_sez,2
luogo_pub,MILANO
editore,SONZOGNO
data_pub,1878
volume,2025-01-01 00:00:00
pagine,351
formato,18.5
collezion,"BIBLIOTECA CLASSICA ECONOMICA, N. 62"
note_sp,VOL. UNICO; ED. STEREOTIPA
data_crea,1998-06-05 00:00:00
n_scheda,19546
segnatura,LE
noName,"2,XXXV/57"
cod_sez,LE
n_s_sez,2
autore,"GELLI, GIAMBATTISTA"
luogo_pub,MILANO
editore,SONZOGNO
data_pub,1878
volume,2025-01-01 00:00:00
pagine,351
formato,18.5
collezion,"BIBLIOTECA CLASSICA ECONOMICA, N. 57"
note_sp,ED. STEREOTIPA
data_crea,1998-06-05 00:00:00
n_scheda,19545
segnatura,LE
noName,"2,XXXV/50"
cod_sez,LE
n_s_sez,2
autore,"VASARI, GIORGIO"
luogo_pub,MILANO
editore,SONZOGNO
data_pub,1877
volume,2025-01-01 00:00:00
pagine,365
formato,18.5
collezion,"BIBLIOTECA CLASSICA ECONOMICA, N. 50"
note_sp,ED. STEREOTIPA
data_crea,1998-06-05 00:00:00
n_scheda,19544
segnatura,LE
noName,"2,XXXV/43"
cod_sez,LE
n_s_sez,2
autore,"FRATE GUIDO, DA PISA ; PANDOLFINI, AGNOLO"
titolo,IL NOVELLINO OSSIA LIBRO DEL PARLAR GENTILE [DI ANONIMO] / I FATTI D I ENEA DI FRATE GUIDO DA PISA / IL GOVERNO DELLA FAMIGLIA DI AGNOLO PAN DOLFINI
luogo_pub,MILANO
editore,SONZOGNO
data_pub,[1912?]
volume,2025-01-01 00:00:00
pagine,310
formato,18.5
collezion,"BIBLIOTECA CLASSICA ECONOMICA, N. 43"
note_sp,CON PREF. E NOTE
data_crea,1998-06-05 00:00:00
n_scheda,19543
segnatura,LE
noName,"2,XXXV/39"
cod_sez,LE
n_s_sez,2
autore,"BOJARDO, MATTEO M."
titolo,"ORLANDO INNAMORATO DI MATTEO MARIA BOJARDO, RIDOTTO A MIGLIOR LEZION E CON LE NOTIZIE DELL'AUTORE; VOLUME UNICO"
edizione,"I, STEREOTIPA"
luogo_pub,MILANO
editore,SONZOGNO
data_pub,1912
volume,2025-01-01 00:00:00
pagine,361
formato,18.5
collezion,"BIBLIOTECA CLASSICA ECONOMICA, N. 39"
data_crea,1998-06-05 00:00:00
n_scheda,19542
segnatura,LE
noName,"2,XXXIV/31,II"
cod_sez,LE
n_s_sez,2
autore,"GOLDONI, CARLO"
titolo,MEMORIE DI CARLO GOLDONI PER L'ISTORIA DELLA SUA VITA E DEL SUO TEAT RO. T. II
luogo_pub,FIRENZE
editore,SOCIETA` EDITRICE
data_pub,1831
volume,2025-01-01 00:00:00
pagine,290
formato,14
data_crea,1998-06-03 00:00:00
n_scheda,19541
segnatura,LE
noName,"2,XXXIV/31,I"
cod_sez,LE
n_s_sez,2
autore,"GOLDONI, CARLO"
titolo,MEMORIE DI CARLO GOLDONI PER L'ISTORIA DELLA SUA VITA E DEL SUO TEAT RO. T. I
luogo_pub,FIRENZE
editore,SOCIETA` EDITRICE
data_pub,1831
volume,2025-01-01 00:00:00
pagine,296
formato,14
data_crea,1998-06-03 00:00:00
n_scheda,19540
segnatura,LE
noName,"2,XXXIV/30"
cod_sez,LE
n_s_sez,2
autore,"GOLDONI, CARLO"
titolo,RACCOLTA COMPLETA DELLE COMMEDIE DI CARLO GOLDONI. V.XXX: LA DONNA F ORTE - IL FRAPPATORE - L'AMOR PATERNO - UNA DELLE ULTIME SERE DI CAR NOVALE - LE BOURRU BIENFAISANT
luogo_pub,FIRENZE
editore,SOCIETA` EDITRICE
data_pub,1831
volume,2025-01-01 00:00:00
pagine,360
formato,14
note_sp,IL V. CONTIENE: AVVISO DEGLI EDITORI DELLA PRESENT
data_crea,1998-06-03 00:00:00
n_scheda,19539
segnatura,LE
noName,"2,XXXIV/29"
cod_sez,LE
n_s_sez,2
autore,"GOLDONI, CARLO"
titolo,RACCOLTA COMPLETA DELLE COMMEDIE DI CARLO GOLDONI. V.XXIX: IL CAMPIE L LO - LE BARUFFE CHIOZZOTTE - SIOR TODERO BRONTOLON - LE DONNE DI C ASA SOA
luogo_pub,FIRENZE
editore,SOCIETA` EDITRICE
data_pub,1831
volume,2025-01-01 00:00:00
pagine,334
formato,14
data_crea,1998-06-03 00:00:00
n_scheda,19538
segnatura,LE
noName,"2,XXXIV/28"
cod_sez,LE
n_s_sez,2
autore,"GOLDONI, CARLO"
titolo,RACCOLTA COMPLETA DELLE COMMEDIE DI CARLO GOLDONI. V. XXVIII: L'UOMO DI MONDO - LA BANCA ROTTA - IL PRODIGO - LA CASTALDA
luogo_pub,FIRENZE
editore,SOCIETA` EDITRICE
data_pub,1831
volume,2025-01-01 00:00:00
pagine,344
formato,14
data_crea,1998-06-03 00:00:00
n_scheda,19537
segnatura,LE
noName,"2,XXXIV/27"
cod_sez,LE
n_s_sez,2
autore,"GOLDONI, CARLO"
titolo,RACCOLTA COMPLETA DELLE COMMEDIE DI CARLO GOLDONI. V. XXVII: L'UOMO PRUDENTE - IL RAGGIRATORE - LE MORBINOSE - I MORBINOSI
luogo_pub,FIRENZE
editore,SOCIETA` EDITRICE
data_pub,1831
volume,2025-01-01 00:00:00
pagine,333
formato,14
data_crea,1998-06-03 00:00:00
n_scheda,19536
segnatura,LE
noName,"2,XXXIV/26"
cod_sez,LE
n_s_sez,2
autore,"GOLDONI, CARLO"
titolo,RACCOLTA COMPLETA DELLE COMMEDIE DI CARLO GOLDONI. V. XXVI: LA DONNA DI GOVERNO - I PETTEGOLEZZI DELLE DONNE - I MALCONTENTI - LA DONNA DI TESTA DEBOLE
luogo_pub,FIRENZE
editore,SOCIETA` EDITRICE
data_pub,1830
volume,2025-01-01 00:00:00
pagine,336
formato,14
data_crea,1998-06-03 00:00:00
n_scheda,19535
segnatura,LE
noName,"2,XXXIV/25"
cod_sez,LE
n_s_sez,2
autore,"GOLDONI, CARLO"
titolo,RACCOLTA COMPLETA DELLE COMMEDIE DI CARLO GOLDONI. V. XXV: L'IMPOSTO RE - L'AMANTE MILITARE - L'INCOGNITA - LE MASSERE
luogo_pub,FIRENZE
editore,SOCIETA` EDITRICE
data_pub,1830
volume,2025-01-01 00:00:00
pagine,329
formato,14
data_crea,1998-06-03 00:00:00
n_scheda,19534
segnatura,LE
noName,"2,XXXIV/24"
cod_sez,LE
n_s_sez,2
autore,"GOLDONI, CARLO"
titolo,RACCOLTA COMPLETA DELLE COMMEDIE DI CARLO GOLDONI. V. XXIV: L'AVVOCA TO VENEZIANO - LA DONNA DI GARBO - LA DONNA SOLA - I RUSTEGHI
luogo_pub,FIRENZE
editore,SOCIETA` EDITRICE
data_pub,1830
volume,2025-01-01 00:00:00
pagine,339
formato,14
data_crea,1998-06-03 00:00:00
n_scheda,19533
segnatura,LE
noName,"2,XXXIV/23"
cod_sez,LE
n_s_sez,2
autore,"GOLDONI, CARLO"
titolo,RACCOLTA COMPLETA DELLE COMMEDIE DI CARLO GOLDONI. V. XXIII: GLI AMA N TI TIMIDI - IL SERVITORE DI DUE PADRONI - LA SERVA AMOROSA - LA MA DRE AMOROSA
luogo_pub,FIRENZE
editore,SOCIETA` EDITRICE
data_pub,1830
volume,2025-01-01 00:00:00
pagine,348
formato,14
data_crea,1998-06-03 00:00:00
n_scheda,19532
segnatura,LE
noName,"2,XXXIV/22"
cod_sez,LE
n_s_sez,2
autore,"GOLDONI, CARLO"
titolo,RACCOLTA COMPLETA DELLE COMMEDIE DI CARLO GOLDONI. V. XXII: IL FEUDA TARIO - LE DONNE GELOSE - I PUNTIGLI DOMESTICI - L'EREDE FORTUNATA
luogo_pub,FIRENZE
editore,SOCIETA` EDITRICE
data_pub,1830
volume,2025-01-01 00:00:00
pagine,334
formato,14
data_crea,1998-06-03 00:00:00
n_scheda,19531
segnatura,LE
noName,"2,XXXIV/21"
cod_sez,LE
n_s_sez,2
autore,"GOLDONI, CARLO"
titolo,RACCOLTA COMPLETA DELLE COMMEDIE DI CARLO GOLDONI. V. XXI: LA CASA N UOVA - L'AVARO - IL GELOSO AVARO - CHI LA FA L'ASPETTA
luogo_pub,FIRENZE
editore,SOCIETA` EDITRICE
data_pub,1830
volume,2025-01-01 00:00:00
pagine,334
formato,14
data_crea,1998-06-03 00:00:00
n_scheda,19530
segnatura,LE
noName,"2,XXXIV/20"
cod_sez,LE
n_s_sez,2
autore,"GOLDONI, CARLO"
titolo,RACCOLTA COMPLETA DELLE COMMEDIE DI CARLO GOLDONI. V. XX: LA PUPILLA - LA SCUOLA DI BALLO - I DUE GEMELLI VENEZIANI - IL FESTINO
luogo_pub,FIRENZE
editore,SOCIETA` EDITRICE
data_pub,1829
volume,2025-01-01 00:00:00
pagine,311
formato,14
data_crea,1998-06-03 00:00:00
n_scheda,19529
segnatura,LE
noName,"2,XXXIV/19"
cod_sez,LE
n_s_sez,2
autore,"GOLDONI, CARLO"
titolo,RACCOLTA COMPLETA DELLE COMMEDIE DI CARLO GOLDONI. V. XIX: LA FINTA AMMALATA - LA BUONA MADRE - LA CAMERIERA BRILLANTE - LA DALMATINA
luogo_pub,FIRENZE
editore,SOCIETA` EDITRICE
data_pub,1829
volume,2025-01-01 00:00:00
pagine,320
formato,14
data_crea,1998-06-03 00:00:00
n_scheda,19528
segnatura,LE
noName,"2,XXXIV/18"
cod_sez,LE
n_s_sez,2
autore,"GOLDONI, CARLO"
titolo,RACCOLTA COMPLETA DELLE COMMEDIE DI CARLO GOLDONI. V. XVIII: LA GRIS ELDA - L'ADULATORE - L'AMANTE DI SE` MEDESIMO - IL CONTRATTEMPO
luogo_pub,FIRENZE
editore,SOCIETA` EDITRICE
data_pub,1829
volume,2025-01-01 00:00:00
pagine,323
formato,14
data_crea,1998-06-02 00:00:00
n_scheda,19527
segnatura,LE
noName,"2,XXXIV/17"
cod_sez,LE
n_s_sez,2
autore,"GOLDONI, CARLO"
titolo,RACCOLTA COMPLETA DELLE COMMEDIE DI CARLO GOLDONI. V. XVII: IL POETA FANATICO - LA PUTTA ONORATA - LA BUONA MOGLIE - L'OSTERIA DELLA POS TA
luogo_pub,FIRENZE
editore,SOCIETA` EDITRICE
data_pub,1829
volume,2025-01-01 00:00:00
pagine,349
formato,14
data_crea,1998-06-02 00:00:00
n_scheda,19526
segnatura,LE
noName,"2,XXXIV/16"
cod_sez,LE
n_s_sez,2
autore,"GOLDONI, CARLO"
titolo,RACCOLTA COMPLETA DELLE COMMEDIE DI CARLO GOLDONI. V. XVI: IL PADRE DI FAMIGLIA - LA BELLA SELVAGGIA - LA GUERRA - LA PERUVIANA
luogo_pub,FIRENZE
editore,SOCIETA` EDITRICE
data_pub,1829
volume,2025-01-01 00:00:00
pagine,316
formato,14
data_crea,1998-06-02 00:00:00
n_scheda,19525
segnatura,LE
noName,"2,XXXIV/15"
cod_sez,LE
n_s_sez,2
autore,"GOLDONI, CARLO"
titolo,RACCOLTA COMPLETA DELLE COMMEDIE DI CARLO GOLDONI. V. XV: PAMELA FAN CIULLA - PAMELA MARITATA - LA VILLEGGIATURA - IL TERENZIO
luogo_pub,FIRENZE
editore,SOCIETA` EDITRICE
data_pub,1829
volume,2025-01-01 00:00:00
pagine,326
formato,14
data_crea,1998-06-02 00:00:00
n_scheda,19524
segnatura,LE
noName,"2,XXXIV/14"
cod_sez,LE
n_s_sez,2
autore,"GOLDONI, CARLO"
titolo,RACCOLTA COMPLETA DELLE COMMEDIE DI CARLO GOLDONI. V. XIV:LA FAMIGLI A DELL'ANTIQUARIO - UN CURIOSO ACCIDENTE - LA BUONA FAMIGLIA - IL PA DRE PER AMORE
luogo_pub,FIRENZE
editore,SOCIETA` EDITRICE
data_pub,1829
volume,2025-01-01 00:00:00
pagine,326
formato,14
data_crea,1998-06-02 00:00:00
n_scheda,19523
segnatura,LE
noName,"2,XXXIV/13"
cod_sez,LE
n_s_sez,2
autore,"GOLDONI, CARLO"
titolo,RACCOLTA COMPLETA DELLE COMMEDIE DI CARLO GOLDONI. V. XIII: IL CAVAL I ER GIOCONDO - LO SPIRITO DI CONTRADIZIONE - L'INDIFFERENTE - IL FI LOSOFO INGLESE
luogo_pub,FIRENZE
editore,SOCIETA` EDITRICE
data_pub,1828
volume,2025-01-01 00:00:00
pagine,309
formato,14
data_crea,1998-06-02 00:00:00
n_scheda,19522
segnatura,LE
noName,"2,XXXIV/12"
cod_sez,LE
n_s_sez,2
autore,"GOLDONI, CARLO"
titolo,RACCOLTA COMPLETA DELLE COMMEDIE DI CARLO GOLDONI. V. XII: LA VEDOVA SCALTRA - IL MOLIERE - IL VECCHIO BIZZARRO - LA DONNA BIZZARRA
luogo_pub,FIRENZE
editore,SOCIETA` EDITRICE
data_pub,1828
volume,2025-01-01 00:00:00
pagine,317
formato,14
data_crea,1998-06-02 00:00:00
n_scheda,19521
segnatura,LE
noName,"2,XXXIV/11"
cod_sez,LE
n_s_sez,2
autore,"GOLDONI, CARLO"
titolo,RACCOLTA COMPLETA DELLE COMMEDIE DI CARLO GOLDONI. V. XI: LA DONNA V ENDICATIVA - LE SMANIE PER LA VILLEGGIATURA - LE AVVENTURE DELLA VIL LEGGIATURA - IL RITORNO DALLA VILLEGGIATURA
luogo_pub,FIRENZE
editore,SOCIETA` EDITRICE
data_pub,1828
volume,2025-01-01 00:00:00
pagine,328
formato,14
data_crea,1998-06-02 00:00:00
n_scheda,19520
segnatura,LE
noName,"2,XXXIV/10"
